identifier,name_en,scientific_name,major_group,isscaap_group,isscaap
13590,Common eagle ray,Myliobatis aquila,PISCES,"Sharks, rays, chimaeras",38
2974,Asian redtail catfish,Hemibagrus nemurus,PISCES,Miscellaneous freshwater fishes,13
3598,Baleen whales nei,Mysticeti,MAMMALIA,"Blue-whales, fin-whales",61
16073,Hagfishes nei,Myxinidae,PISCES,Miscellaneous coastal fishes,33
2258,So-iuy mullet,Mugil soiuy,PISCES,Miscellaneous coastal fishes,33
18448,NA,Mazzaella laminarioides,PLANTAE AQUATICAE,Red seaweeds,92
19129,NA,Mystacoleucus padangensis,PISCES,"Carps, barbels and other cyprinids",11
3385,Marine fishes nei,Osteichthyes,PISCES,Marine fishes not identified,39
2742,Narwhal,Monodon monoceros,MAMMALIA,"Sperm-whales, pilot-whales",62
13661,Bluespine unicornfish,Naso unicornis,PISCES,Miscellaneous coastal fishes,33
13664,Pilotfish,Naucrates ductor,PISCES,Miscellaneous pelagic fishes,37
18789,Yellow jack,Caranx bartholomaei,PISCES,Miscellaneous pelagic fishes,37
18824,Round goby,Neogobius melanostomus,PISCES,Miscellaneous freshwater fishes,13
11364,Clown knifefish,Chitala chitala,PISCES,Miscellaneous freshwater fishes,13
